WARNING 2026-05-25 06:18:02,677 log: Forbidden: /api/upload/uploaddb/
WARNING 2026-05-25 06:18:02,677 basehttp: "POST /api/upload/uploaddb/ HTTP/1.1" 403 22
INFO 2026-05-25 06:18:03,007 api: Successful login from IP:127.0.0.1 for USER:admin
INFO 2026-05-25 06:18:03,008 operation: "POST - AuthController[obtain_token] /api/token/pair" 0.13672804832458496
INFO 2026-05-25 06:18:03,008 basehttp: "POST /api/token/pair HTTP/1.1" 200 507
WARNING 2026-05-25 06:18:03,027 log: Forbidden: /api/upload/uploaddb/
WARNING 2026-05-25 06:18:03,027 basehttp: "POST /api/upload/uploaddb/ HTTP/1.1" 403 22
INFO 2026-05-25 06:18:03,411 api: Successful login from IP:127.0.0.1 for USER:admin
INFO 2026-05-25 06:18:03,411 operation: "POST - AuthController[obtain_token] /api/token/pair" 0.13893818855285645
INFO 2026-05-25 06:18:03,411 basehttp: "POST /api/token/pair HTTP/1.1" 200 507
WARNING 2026-05-25 06:18:03,440 log: Forbidden: /api/upload/uploaddb/
WARNING 2026-05-25 06:18:03,440 basehttp: "POST /api/upload/uploaddb/ HTTP/1.1" 403 22
INFO 2026-05-25 06:18:03,736 api: Successful login from IP:127.0.0.1 for USER:admin
INFO 2026-05-25 06:18:03,736 operation: "POST - AuthController[obtain_token] /api/token/pair" 0.12994885444641113
INFO 2026-05-25 06:18:03,736 basehttp: "POST /api/token/pair HTTP/1.1" 200 507
WARNING 2026-05-25 06:18:03,756 log: Forbidden: /api/upload/uploaddb/
WARNING 2026-05-25 06:18:03,756 basehttp: "POST /api/upload/uploaddb/ HTTP/1.1" 403 22
INFO 2026-05-25 06:22:58,255 autoreload: Watching for file changes with StatReloader
INFO 2026-05-25 06:23:22,047 basehttp: "GET /admin/ HTTP/1.1" 200 10191
INFO 2026-05-25 06:23:27,587 basehttp: "GET /uploaddb/ HTTP/1.1" 200 6997
INFO 2026-05-25 06:23:34,401 basehttp: "POST /admin/logout/ HTTP/1.1" 200 3576
INFO 2026-05-25 06:23:36,246 basehttp: "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-25 06:23:36,274 basehttp: "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4181
INFO 2026-05-25 06:23:44,828 basehttp: "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4344
INFO 2026-05-25 06:23:51,880 basehttp: "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4344
INFO 2026-05-25 06:23:58,849 basehttp: "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-25 06:23:58,880 basehttp: "GET /admin/ HTTP/1.1" 200 10191
WARNING 2026-05-25 06:25:36,313 operation: "POST - AuthController[obtain_token] /api/token/pair" 401
WARNING 2026-05-25 06:25:36,313 api: Failed login attempt from IP:127.0.0.1 for USER:admin
WARNING 2026-05-25 06:25:36,315 log: Unauthorized: /api/token/pair
WARNING 2026-05-25 06:25:36,316 basehttp: "POST /api/token/pair HTTP/1.1" 401 36
